Kanten
315369194
320260626
334489860
336381774
337950366
338609300
338617662
338772070
339051546
340602012
345533396
345663500
345679964
349125484
350811352
350811454
350811806
350811858
352572550
352690496
352690840
354715406
354717180
354718448
375151046
375184504
375184508
376411052
376460526
380726574
380728086
380730708
380741304
380855220
381149248
381153386
383128576
389887362
408860972
408861360
409026566
409277212
419625498
424379224
424829790
424910996
429147484
429193706
430319872
432139106
433811988
446866680
447227746
447227746
447394228
447680516
447871232
448645470
459304924
459311486
459326720
459326966
466266034
468864202
468864206
468865470
468873762
468874440
469012064
471395486
471647564
471696390
485716136
487451586
490683614
501818596
501819982
501980988
502123912
503103786
503155258
503162624
508604746
518632068
524696038
526890726
526890738
527180660
527228024
528004268
539202956
539202950
539262768
543916594
543921974
543924902
544089344
556626978
556744790
556977284
556977272
557225946
558781526
558781612
558962344
565538982
565596714
565615074
565718926
565731934
565872740
565896438
605894022
605951008
671806652
671806812
671892164
829870710
997315724
998723600
998735132
998735292
998735704
998737322
1006302132
1006302958
1012537378
1012558228
1154224282
1154361608
1156520776
1157016290
1205471928
1220440284
1351745594
1351918640
1351920916
1358344176
1434728106
1787251616
1808277220
1808862922
1839465776
1839492964
1917282388
2125825160
