,x,matches,degree
0,0.0,310402990,1543.9862216474332
1,0.09998010346199762,317803776,1582.3807925751473
2,0.19996020692399524,328856590,1639.0543665706396
3,0.29994031038599284,341071488,1701.6393580027639
4,0.3999204138479905,351698888,1756.421862202601
5,0.5003979307600478,364796090,1823.6704260275753
6,0.6003780342220454,374341208,1873.2702206342296
7,0.700358137684043,383265874,1919.8619159253026
8,0.8003382411460406,394825086,1979.7578410578094
9,0.9008157580580979,402511756,2020.3472185274231
10,1.0007958615200956,415375260,2087.0192133770124
11,1.100775964982093,426014056,2142.636845096491
12,1.2007560684440908,438198926,2206.1508865908795
13,1.301233585356148,445497798,2245.1810164093054
14,1.4012136888181457,453833098,2289.5077665054005
15,1.5011937922801433,460680176,2326.409065659371
16,1.6011738957421406,470414198,2377.9790719893235
17,1.7016514126541982,479974316,2428.786280671393
18,1.8016315161161958,494840768,2506.5635757631017
19,1.9016116195781936,503396654,2552.5013259506027
20,2.001591723040191,513208014,2604.905256425874
21,2.102069239952248,520403060,2644.136392736289
22,2.202049343414246,530461800,2697.999623626108
23,2.3020294468762437,541249006,2755.681964442091
24,2.4020095503382413,555246862,2829.8457374968784
25,2.5024870672502986,566182754,2888.5548826839586
26,2.602467170712296,577073708,2947.1406071253473
27,2.7024472741742933,586341642,2997.5493821795744
28,2.8024273776362914,597373276,3057.0876841038657
29,2.902407481098289,604556398,3097.0333649240542
30,3.0028849980103463,613907132,3148.193268821505
31,3.102865101472344,620922504,3187.454461453168
32,3.202845204934342,628730146,3230.8680119834944
33,3.302825308396339,643099850,3308.1268004115227
34,3.4033028253083963,650425780,3349.2918567647453
35,3.503282928770394,659919046,3401.697170574803
36,3.6032630322323915,666121988,3437.2329047039157
37,3.7032431356943887,675444768,3488.957710684677
38,3.803720652606447,682066828,3526.843412119363
39,3.903700756068444,689340018,3568.160265435422
40,4.003680859530442,696587452,3609.429724702188
41,4.103660962992439,707219852,3668.3430260905648
42,4.204138479904496,712645296,3700.3618917066483
43,4.3041185833664946,717623580,3730.1043209780287
44,4.404098686828492,725259396,3773.736879897599
45,4.50407879029049,731493828,3810.1613563559654
46,4.604556307202547,738128196,3848.7675967108657
47,4.704536410664544,748096612,3904.837677861177
48,4.804516514126542,754278344,3941.239433381579
49,4.90449661758854,762916334,3990.5656135579034
50,5.004974134500597,769954032,4031.637319481825
51,5.104954237962595,776227636,4068.7694847911434
52,5.204934341424592,782782742,4107.457087985896
53,5.30491444488659,790658412,4153.163030860144
54,5.404894548348587,796845546,4190.0866890321495
55,5.505372065260645,804261354,4233.578390499652
56,5.605352168722642,811263010,4274.957764885045
57,5.70533227218464,817668300,4313.2789998417475
58,5.805312375646637,824376494,4353.281128378985
59,5.905789892558695,832602486,4401.415077682683
60,6.0057699960206925,837835636,4433.790396155922
61,6.10575009948269,843113430,4466.47116785421
62,6.205730202944688,849113138,4503.0500943976585
63,6.3062077198567446,855114144,4539.7380788057035
64,6.406187823318743,864222144,4592.992936899783
65,6.50616792678074,869857932,4627.88855075548
66,6.606148030242738,877613570,4674.149148642675
67,6.706625547154794,882520072,4705.343292972269
68,6.806605650616793,889375580,4746.982108926322
69,6.906585754078791,893695152,4775.160439208143
70,7.006565857540788,904777506,4839.5728681921755
71,7.107043374452846,909355454,4869.321099640165
72,7.207023477914842,917942082,4920.595879947039
73,7.307003581376841,926622116,4972.482511403274
74,7.406983684838838,930398930,4998.140897882879
75,7.507461201750895,937740576,5043.052998972826
76,7.607441305212894,944626116,5085.5798563629905
77,7.7074214086748905,953057080,5136.527958177262
78,7.807401512136888,957668018,5166.976098497928
79,7.907381615598885,962116272,5196.61165693545
80,8.007859132510943,970527274,5247.766985146614
81,8.107839235972941,975383662,5279.764328245101
82,8.207819339434938,980649750,5314.051501308666
83,8.307799442896936,984081412,5338.462020852999
84,8.408276959808992,990215290,5377.630066907069
85,8.50825706327099,993165740,5399.547340092968
86,8.608237166732989,997422036,5428.619830842414
87,8.708217270194986,1002796020,5463.845847885666
88,8.808694787107044,1007946728,5497.961217688225
89,8.90867489056904,1013123222,5532.262447441708
90,9.008654994031039,1018033162,5565.181912107976
91,9.108635097493037,1022862620,5597.733352305066
92,9.209112614405093,1026964542,5626.4014003484435
93,9.309092717867092,1031508034,5657.523839297957
94,9.409072821329088,1038170176,5700.34798269311
95,9.509052924791087,1044734582,5742.729517433199
96,9.609530441703143,1047581294,5764.778391050017
97,9.709510545165141,1052588752,5798.748082855884
98,9.80949064862714,1059927648,5845.65129964317
99,9.909470752089137,1064667060,5878.3061871266245
100,10.009948269001194,1073009498,5930.981770545446
101,10.109928372463191,1082458726,5989.866508037518
102,10.20990847592519,1084727842,6009.106451577163
103,10.309888579387188,1090585150,6048.289086200108
104,10.409868682849185,1093131324,6069.17542418051
105,10.510346199761242,1095730378,6090.436206992385
106,10.610326303223239,1103374816,6139.786076379035
107,10.710306406685238,1111658028,6192.804933484858
108,10.810286510147234,1114255622,6214.233811284556
109,10.910764027059292,1116556044,6234.086396248011
110,11.01074413052129,1118769386,6253.462113759335
111,11.110724233983287,1126297664,6302.623145666273
112,11.210704337445284,1131092024,6336.578996313767
113,11.311181854357342,1134824720,6364.692765002805
114,11.41116195781934,1136814304,6383.047091786029
115,11.511142061281337,1138948612,6402.256416598276
116,11.611122164743334,1143553620,6435.4132033742835
117,11.711599681655391,1146000094,6456.520431561453
118,11.81157978511739,1148177402,6476.121030604532
119,11.911559888579387,1151058278,6499.738995894812
120,12.011539992041385,1152851828,6517.263799380413
121,12.112017508953441,1155174024,6537.857399966042
